factor,orig_mean,orig_sharpe,orig_tstat,orig_ar1,SB_mean_ci_lower,SB_mean_ci_upper,SB_mean_ci_width,SB_sharpe_ci_lower,SB_sharpe_ci_upper,SB_sharpe_ci_width,SB_tstat_ci_lower,SB_tstat_ci_upper,SB_tstat_ci_width,CBB_mean_ci_lower,CBB_mean_ci_upper,CBB_mean_ci_width,CBB_sharpe_ci_lower,CBB_sharpe_ci_upper,CBB_sharpe_ci_width,CBB_tstat_ci_lower,CBB_tstat_ci_upper,CBB_tstat_ci_width,MBB_mean_ci_lower,MBB_mean_ci_upper,MBB_mean_ci_width,MBB_sharpe_ci_lower,MBB_sharpe_ci_upper,MBB_sharpe_ci_width,MBB_tstat_ci_lower,MBB_tstat_ci_upper,MBB_tstat_ci_width
total_mv,0.018400488348499174,0.24883522567534966,3.8307696067821437,0.031123936191994883,0.00813497840438371,0.027814874075929693,0.01967989567154598,0.11115611831808424,0.387512334813237,0.27635621649515274,1.7112266902932278,5.96567656539309,4.254449875099862,0.009437666980028157,0.02738401578417149,0.017946348804143333,0.1282183638824115,0.39017309814559786,0.2619547342631864,1.9738966219875218,6.006638496232202,4.03274187424468,0.010476812896877172,0.028944103124386417,0.018467290227509245,0.14591472708796924,0.41517161763044125,0.26925689054247204,2.2463286706833667,6.3914858119495905,4.145157141266224
amount_21,0.020221120612706183,0.23199696068982703,3.5715478122696553,0.06941936458831352,0.007280318140894425,0.03229597907204805,0.025015660931153625,0.10539437541517208,0.344791725478242,0.23939735006306992,1.622525785770307,5.308001144320565,3.685475358550258,0.008713116954939476,0.03323292770230749,0.024519810747368018,0.12611459239458547,0.3444827465920502,0.21836815419746472,1.9415094716019357,5.303244474829143,3.3617350032272078,0.010624517798903454,0.036204070473154396,0.02557955267425094,0.1494163669197802,0.37104678330794916,0.22163041638816897,2.3002357306874033,5.712192621975624,3.4119568912882206
idios_momentum_capm_252_21,0.01334861722268332,0.20830908228212083,3.206877559466372,0.022284027229250717,0.00533423754689684,0.021084416285800933,0.015750178738904094,0.0758285585962432,0.3666719786694201,0.2908434200731769,1.167365821330992,5.6448433606345,4.477477539303508,0.005194924069602138,0.02186073511602396,0.01666581104642182,0.07218149421730649,0.392631633118784,0.32045013890147755,1.1112199788808708,6.0444871610541995,4.933267182173329,0.004814467419760056,0.020960479240930027,0.01614601182116997,0.06470108813440366,0.3540547479234387,0.28935365978903504,0.9960605910128563,5.450603562260765,4.454542971247909
sellexp_to_total_mktcap_ttm,0.009601300433902036,0.2517867195393488,3.8762072772651934,0.0414558293064896,0.003886274876240556,0.015127679135528553,0.011241404259287997,0.11302313342940082,0.38059247276374203,0.26756933933434124,1.7399690225913313,5.8591466432312025,4.119177620639871,0.004303904303387761,0.014666116878454575,0.010362212575066813,0.1173791707950103,0.3836914928048021,0.26631232200979177,1.8070293654382694,5.906855450341939,4.09982608490367,0.005071320017267401,0.015290837421670627,0.010219517404403227,0.13011058587868254,0.39988973456150473,0.26977914868282216,2.003027009346975,6.15622421248755,4.153197203140575
tpi_21,0.012246819596857809,0.1941049311230964,2.9882074318650598,0.044676329722511336,0.005115927017147877,0.018993861493071907,0.01387793447592403,0.07905798654954771,0.3207291768740353,0.24167119032448758,1.217082232732294,4.937562917158242,3.7204806844259473,0.005125197206588209,0.019318022017693223,0.014192824811105013,0.07963953511139032,0.3252950628454599,0.24565552773406957,1.2260350590434739,5.007853838228179,3.7818187791847055,0.005087150606290082,0.02034560154133608,0.015258450935045999,0.07791951684158971,0.3393038624091598,0.26138434556757006,1.1995557143559221,5.223516566246195,4.023960851890273
abnormal_turnover_21,0.010704964462552369,0.16342379637433552,2.515877366143244,0.0034920359985964114,0.004400567910176309,0.016576653015102513,0.012176085104926205,0.060934098794068026,0.2933766495051813,0.23244255071111325,0.9380685272491144,4.516476110702677,3.5784075834535627,0.004215341430554376,0.01713671012515576,0.012921368694601384,0.056356830977020794,0.30085000970826653,0.24449317873124574,0.8676023848930339,4.631527028629649,3.7639246437366154,0.003993284095610307,0.017104426745190953,0.013111142649580645,0.05744644774299796,0.28917258331175416,0.2317261355687562,0.8843768217872356,4.451755334313516,3.5673785125262802
